Date,Open,High,Low,Volume
2017-06-22,301.98,336.68,290.0,171422.56619435
2017-06-21,351.17,352.0,0.1,425321.85710003
2017-06-20,356.48,365.79,325.0,200729.81099844
2017-06-19,349.25,362.5,346.88,104498.03811592
2017-06-18,367.98,381.66,340.11,159344.76189235
2017-06-17,350.0,368.86,341.65,141934.84812809
2017-06-16,341.29,364.0,314.0,269593.51730033
2017-06-15,334.03,356.29,253.0,750730.58014359
2017-06-14,378.97,394.47,315.0,363943.1912571
2017-06-13,379.1,400.0,359.75,284086.26442289
2017-06-12,347.73,420.0,306.11,524166.84312938
2017-06-11,341.3,358.46,317.05,294732.52521222
2017-06-10,277.12,344.14,276.5,380624.19012022
2017-06-09,258.11,278.05,255.82,185388.48280525
2017-06-08,254.18,261.0,250.0,145108.0571147
2017-06-07,262.7,265.63,244.98,215987.66522561
2017-06-06,248.05,269.36,247.0,316637.41241249
2017-06-05,247.46,248.98,241.2,151954.1304404
2017-06-04,224.57,249.04,223.0,206695.15647651
2017-06-03,220.51,227.5,218.56,111031.52313807
2017-06-02,220.85,229.75,216.5,166934.36529693
2017-06-01,228.62,238.97,206.02,346651.75743324
2017-05-31,225.0,234.76,215.42,376270.27691156
2017-05-30,196.98,227.49,185.0,427307.64387154
2017-05-29,175.56,199.0,167.0,213042.53674947
2017-05-28,156.29,185.0,154.03,239410.19631674
2017-05-27,165.0,172.0,115.67,484816.20979996
2017-05-26,191.2,199.99,140.0,438948.38969525
2017-05-25,196.5,217.85,162.04,471891.22602231
2017-05-24,169.2,202.0,167.7,361476.69135298
2017-05-23,141.78,177.9,131.22,322063.26720378
2017-05-22,145.8,184.22,144.07,600731.0625551
2017-05-21,125.54,146.76,122.0,314391.33651215
2017-05-20,126.01,129.34,121.0,215402.07838997
2017-05-19,94.84,129.98,94.76,466552.79834412
2017-05-18,86.18,95.84,86.0,170699.54191806
2017-05-17,88.4,89.98,82.5,151147.72808762
2017-05-16,90.36,92.3,87.08,127305.82528324
2017-05-15,89.49,94.7,89.21,129344.11917707
2017-05-14,88.2,89.94,87.13,55074.13044671
2017-05-13,86.39,88.46,82.0,90963.39252337
2017-05-12,88.21,90.3,82.2,132241.11154529
2017-05-11,87.64,90.99,87.01,117647.9375847
2017-05-10,88.2,91.98,85.23,149906.05227957
2017-05-09,90.54,90.64,75.89,269929.07367039
2017-05-08,92.11,95.49,85.1,231135.00128512
2017-05-07,94.9,97.95,91.21,127222.13788653
2017-05-06,94.07,96.0,91.29,112364.27502355
2017-05-05,95.92,98.98,89.0,259972.28302767
2017-05-04,80.96,95.94,80.31,341507.93520909
2017-05-03,77.76,80.99,75.89,218424.56990901
2017-05-02,78.56,83.07,75.54,208238.20294367
2017-05-01,79.0,85.21,72.24,428589.63974174
2017-04-30,70.8,82.9,70.0,265552.22773675
2017-04-29,70.82,74.9,68.24,271029.46560326
2017-04-28,62.84,71.63,62.5,416726.41251165
2017-04-27,53.33,63.99,52.66,300773.12573914
2017-04-26,50.37,54.85,50.25,184251.32699327
2017-04-25,50.18,50.75,50.0,76675.15256471
2017-04-24,48.83,50.44,48.8,86969.47283775
2017-04-23,48.66,48.99,48.25,53581.40701351
2017-04-22,48.81,49.08,48.22,63644.63194835
2017-04-21,49.31,49.49,48.61,72965.30688274
2017-04-20,49.5,49.51,47.25,113244.82775268
2017-04-19,49.85,50.32,49.37,83191.06610172
2017-04-18,47.5,49.93,47.5,82911.20852899
2017-04-17,47.97,48.3,47.5,54200.13146674
2017-04-16,74.98,74.98,47.2,41074.98963806
2017-04-14,49.44,50.22,46.52,88640.4921155
2017-04-13,46.57,51.11,46.17,171696.40535645
2017-04-12,43.8,47.88,43.58,122054.06784733
2017-04-11,43.88,44.5,43.51,55833.44735079
2017-04-10,43.97,44.65,42.72,67493.01174997
2017-04-09,44.6,44.84,42.72,56713.92698273
2017-04-08,42.45,45.5,42.3,80412.95666105
2017-04-07,43.05,44.64,41.57,107650.70182608
2017-04-06,45.28,45.97,41.1,173048.88853506
2017-04-05,43.86,47.63,43.8,152083.08036126
2017-04-04,43.15,46.25,41.45,235925.03195562
2017-04-03,49.1,49.15,42.39,306171.52925344
2017-04-02,50.73,51.19,48.14,148373.87272423
2017-04-01,49.51,51.85,48.85,97198.26605186
2017-03-31,52.03,52.41,46.98,243236.29997839
2017-03-30,52.8,53.34,51.52,135444.90281991
2017-03-29,50.34,53.97,50.0,242067.67843955
2017-03-28,49.16,50.44,48.28,158176.13868812
2017-03-27,50.64,51.71,48.4,159057.2023242
2017-03-26,50.08,51.5,48.51,155732.65587859
2017-03-25,51.45,53.44,47.29,369590.86268369
2017-03-24,43.44,51.48,42.5,354963.18500447
2017-03-23,40.84,43.97,40.33,174740.4510978
2017-03-22,42.39,42.7,38.26,212094.71586445
2017-03-21,42.71,43.68,40.86,170260.59799119
2017-03-19,32.26,45.64,30.7,489322.42038871
2017-03-18,44.69,45.88,31.25,535619.28919739
2017-03-17,46.04,57.67,35.04,723311.50587373
2017-03-16,34.25,47.03,34.09,747055.65315622
2017-03-15,28.77,34.89,28.49,383509.80521193
2017-03-14,28.44,30.0,27.16,228153.64497554
2017-03-13,23.27,31.1,23.23,623566.2772087
2017-03-12,19.05,21.89,18.91,228838.82986844
2017-03-11,17.82,19.7,17.01,309447.25676125
2017-03-10,16.61,18.29,16.2,182163.60801265
2017-03-09,18.89,18.96,16.61,280606.11087977
2017-03-08,19.68,19.77,18.59,156671.05456249
2017-03-07,19.38,20.24,19.17,141864.35373665
2017-03-06,18.65,19.45,18.18,128022.13196749
2017-03-05,19.58,20.4,18.65,150890.03952055
2017-03-04,19.27,21.49,18.2,418296.48180869
2017-03-03,17.49,19.99,16.88,353325.69559411
2017-03-02,15.83,17.58,15.68,251945.75201409
2017-02-28,14.75,16.32,14.37,227998.54378059
2017-02-27,13.63,14.84,13.4,100646.89753012
2017-02-26,13.16,13.87,13.06,96837.20849802
2017-02-25,13.22,13.33,12.81,141654.74543577
2017-02-24,12.74,13.37,12.73,101645.2415701
2017-02-23,12.85,12.99,12.68,81628.36132907
2017-02-22,12.59,12.87,12.3,99350.86250616
2017-02-21,12.9,12.95,12.56,70696.13901469
2017-02-20,12.87,12.95,12.79,34815.25412059
2017-02-19,12.77,12.93,12.77,45730.92082413
2017-02-18,12.92,12.95,12.71,90714.24317995
2017-02-17,12.98,13.03,12.62,89348.20727242
2017-02-16,13.16,13.2,12.66,117726.37515449
2017-02-15,11.42,14.7,11.39,260909.50032083
2017-02-14,11.5,11.54,11.21,50128.13367266
2017-02-13,11.51,11.54,11.4,23335.42637133
2017-02-12,11.42,11.52,11.34,35293.99230547
2017-02-11,11.02,11.48,10.88,69289.46315576
2017-02-10,11.4,11.54,10.61,118356.17173816
2017-02-09,11.51,11.65,11.15,88043.86566488
2017-02-08,11.33,11.59,11.29,57389.00980311
2017-02-07,11.27,11.42,11.22,47726.3447215
2017-02-06,11.39,11.44,11.15,39563.95306944
2017-02-05,10.98,11.45,10.98,89625.18489355
2017-02-04,10.82,10.99,10.67,49708.51833319
2017-02-03,10.71,10.86,10.62,48581.70276323
2017-02-02,10.71,10.86,10.51,58398.80673664
2017-02-01,10.6,10.79,10.58,40497.42378467
2017-01-31,10.5,10.71,10.37,42022.08104909
2017-01-30,10.58,10.58,10.46,19237.12895493
2017-01-29,10.55,10.58,10.47,26322.92714156
2017-01-28,10.61,10.64,10.42,45845.48034511
2017-01-27,10.54,10.67,10.5,43444.18171844
2017-01-26,10.57,10.66,10.43,41045.88754223
2017-01-25,10.78,10.92,10.51,54923.80019014
2017-01-24,10.77,10.85,10.65,35594.52515161
2017-01-23,10.93,11.07,10.66,49893.01076167
2017-01-22,10.65,11.06,10.58,60044.83210136
2017-01-21,10.46,10.81,10.42,59455.01891867
2017-01-20,10.25,10.5,10.18,47611.24661444
2017-01-19,10.33,10.51,9.99,62955.27909693
2017-01-18,9.66,10.53,9.65,70391.9885457
2017-01-17,9.91,10.23,9.56,63109.15135822
2017-01-16,9.86,10.05,9.8,27754.14426025
2017-01-15,9.86,9.94,9.69,37283.35356003
2017-01-14,9.82,9.91,9.51,77394.58240566
2017-01-13,9.8,10.17,9.12,79647.24561381
2017-01-12,10.62,10.84,9.47,144124.42662446
2017-01-11,10.44,10.75,10.34,55082.01700617
2017-01-10,10.5,10.94,10.23,71553.25560965
2017-01-09,9.92,10.58,9.89,62884.84447958
2017-01-08,10.14,10.21,9.55,68177.88241145
2017-01-07,10.24,10.46,9.52,139555.99487529
2017-01-06,11.15,11.8,9.08,317417.75037146
2017-01-05,9.62,11.17,9.34,250382.35266445
2017-01-04,8.38,10.02,8.24,193117.5929317
2017-01-03,8.19,8.53,8.05,70450.37863029
2017-01-02,8.15,8.6,8.08,59572.54321094
2017-01-01,8.2,8.29,8.0,43424.9476703
2016-12-31,8.29,8.52,8.01,66121.23918059
2016-12-30,7.65,8.53,7.6,152445.66075647
2016-12-29,7.16,7.72,7.05,98400.42626663
2016-12-28,7.23,7.37,7.05,45359.91499335
2016-12-27,7.18,7.33,7.02,26970.32002986
2016-12-26,7.24,7.34,7.12,26438.83510247
2016-12-25,7.11,7.46,7.08,29870.84143248
2016-12-24,7.54,7.67,7.01,95561.32520549
2016-12-23,7.91,7.95,7.5,86895.17310973
2016-12-22,7.64,7.97,7.64,46310.30741928
2016-12-21,7.62,7.77,7.55,28597.71519842
2016-12-20,7.92,7.95,7.57,41346.32592096
2016-12-19,7.8,7.97,7.69,21241.08083959
2016-12-18,7.86,7.93,7.51,37374.93342
2016-12-17,7.87,7.95,7.77,33660.75552742
2016-12-16,8.24,8.32,7.64,74786.15309022
2016-12-15,8.4,8.48,8.19,34073.30998726
2016-12-14,8.53,8.57,8.35,37242.66222809
2016-12-13,8.24,8.62,8.18,44449.73145029
2016-12-12,8.16,8.26,8.11,22173.21442344
2016-12-11,8.46,8.55,8.04,44652.29563691
2016-12-10,8.2,8.65,7.97,60516.06116836
2016-12-09,8.38,8.95,8.2,69293.72531147
2016-12-08,7.83,8.6,7.33,91022.39199888
2016-12-07,6.76,7.99,5.81,169661.67450682
2016-12-06,7.37,7.58,6.56,93647.81705137
2016-12-05,7.86,7.92,7.35,44955.46838461
2016-12-04,7.74,8.12,7.34,57901.27746199
2016-12-03,8.46,8.46,7.27,118383.25313796
2016-12-02,8.6,8.68,8.3,42187.39620797
2016-12-01,8.14,8.75,8.14,57449.32343109
2016-11-30,8.68,8.72,7.79,84722.26962246
2016-11-29,8.98,9.0,8.63,46608.57178503
2016-11-28,9.33,9.33,8.66,62039.50658924
2016-11-27,9.42,9.48,9.26,17875.33366307
2016-11-26,9.19,9.74,9.16,21992.7200396
2016-11-25,9.8,9.82,8.68,67233.11391859
2016-11-24,9.85,9.93,9.73,21427.20552124
2016-11-23,9.49,10.21,9.49,38033.8950779
2016-11-22,9.58,9.65,9.41,29089.52841982
2016-11-21,9.69,9.78,9.52,25182.74029388
2016-11-20,9.51,9.78,9.45,25496.19991913
2016-11-19,9.9,9.97,9.45,55819.74097787
2016-11-18,10.01,10.13,9.8,48638.62623181
2016-11-17,10.27,10.42,9.82,42901.6167258
2016-11-16,10.0,10.3,9.81,30108.87493255
2016-11-15,10.09,10.19,9.93,29730.40821226
2016-11-14,9.93,10.41,9.82,26756.73158074
2016-11-13,10.29,10.34,9.65,46388.64218957
2016-11-12,10.51,10.72,10.16,44521.34534712
2016-11-11,10.64,10.68,10.44,26510.99928124
2016-11-10,10.84,10.86,10.28,73155.2243969
2016-11-09,10.93,11.01,10.81,41445.93379279
2016-11-08,11.01,11.06,10.9,28121.134236
2016-11-06,11.14,11.2,10.92,20349.27190002
2016-11-05,11.13,11.24,11.01,22302.14707712
2016-11-04,10.93,11.13,10.8,34890.66726539
2016-11-03,10.88,11.14,10.77,50937.30904369
2016-11-02,10.76,11.17,10.6,40192.7469517
2016-11-01,11.1,11.24,10.35,71226.48240252
2016-10-31,11.3,11.44,10.85,35217.11184839
2016-10-30,10.37,11.45,10.35,43466.20188443
2016-10-29,11.11,11.35,9.52,87712.24460843
2016-10-28,11.43,11.63,10.93,50225.61490004
2016-10-27,11.5,11.57,11.22,43418.07830162
2016-10-26,11.36,11.7,11.16,43009.52455371
2016-10-25,11.9,11.95,11.05,72477.78803948
2016-10-24,11.93,11.99,11.89,22427.02106274
2016-10-23,12.04,12.06,11.87,20492.53343863
2016-10-22,12.06,12.14,11.87,25886.32717244
2016-10-21,12.06,12.13,11.96,19427.26102151
2016-10-20,11.97,12.26,11.92,31058.12885616
2016-10-19,12.52,12.65,11.88,38513.9332034
2016-10-18,11.97,12.94,11.91,46714.92268224
2016-10-17,11.97,11.99,11.83,30090.55252026
2016-10-16,11.9,12.05,11.96,14189.2389946
2016-10-15,11.78,11.97,11.91,21325.8737376
2016-10-14,11.84,12.07,11.88,36671.1233365
2016-10-13,11.72,12.11,11.92,33573.9447571
2016-10-12,11.68,12.11,11.77,35966.2068025
2016-10-11,11.7,12.24,11.78,37428.6284742
